filename	class	# predicted reads	predicted reads (%)	# predicted reads above 0.95	predicted reads above 0.95 (%)
SRR5515378.fasta.gz	rc_discarded	3615	0.0451262	1854	0.0231436
SRR6116514.fasta.gz	SARS-CoV-2	1	7.8067e-06	0	0
SRR6116514.fasta.gz	Coronaviridae	162	0.00126469	107	0.000835317
SRR6116514.fasta.gz	Influenza	38	0.000296655	34	0.000265428
SRR6116514.fasta.gz	Metapneumovirus	0	0	0	0
SRR6116514.fasta.gz	Rhinovirus	267	0.00208439	213	0.00166283
SRR6116514.fasta.gz	Human	12805324	99.9673	12801772	99.9396
SRR6116514.fasta.gz	Discarded	0	0	0	0
SRR6116514.fasta.gz	rc_discarded	3717	0.0290175	2045	0.0159647
SRR8927151.fasta.gz	SARS-CoV-2	1	2.62267e-05	1	2.62267e-05
SRR8927151.fasta.gz	Coronaviridae	51	0.00133756	44	0.00115397
SRR8927151.fasta.gz	Influenza	0	0	0	0
SRR8927151.fasta.gz	Metapneumovirus	0	0	0	0
SRR8927151.fasta.gz	Rhinovirus	123	0.00322588	99	0.00259644
SRR8927151.fasta.gz	Human	3797833	99.6046	3796920	99.5806
SRR8927151.fasta.gz	Discarded	13916	0.36497	13916	0.36497
SRR8927151.fasta.gz	rc_discarded	987	0.0258857	539	0.0141362
SRR8928257.fasta.gz	SARS-CoV-2	0	0	0	0
SRR8928257.fasta.gz	Coronaviridae	37	0.00132836	26	0.000933442
SRR8928257.fasta.gz	Influenza	0	0	0	0
SRR8928257.fasta.gz	Metapneumovirus	0	0	0	0
SRR8928257.fasta.gz	Rhinovirus	48	0.00172328	27	0.000969344
SRR8928257.fasta.gz	Human	2647134	95.0364	2646277	95.0057
SRR8928257.fasta.gz	Discarded	137311	4.92969	137311	4.92969
SRR8928257.fasta.gz	rc_discarded	859	0.0308395	454	0.0162993
SRR9274276.fasta.gz	SARS-CoV-2	0	0	0	0
SRR9274276.fasta.gz	Coronaviridae	49	0.00454193	31	0.00287347
SRR9274276.fasta.gz	Influenza	0	0	0	0
SRR9274276.fasta.gz	Metapneumovirus	0	0	0	0
SRR9274276.fasta.gz	Rhinovirus	66	0.0061177	40	0.0037077
SRR9274276.fasta.gz	Human	1069493	99.134	1069029	99.091
SRR9274276.fasta.gz	Discarded	8526	0.790296	8526	0.790296
SRR9274276.fasta.gz	rc_discarded	702	0.0650701	425	0.0393943
SRR11412227.fasta	SARS-CoV-2	1813	0.0480329	1811	0.0479799
SRR11412227.fasta	Coronaviridae	51	0.00135117	23	0.000609352
SRR11412227.fasta	Influenza	1	2.64936e-05	1	2.64936e-05
SRR11412227.fasta	Metapneumovirus	0	0	0	0
SRR11412227.fasta	Rhinovirus	222	0.00588158	65	0.00172208
SRR11412227.fasta	Human	1674673	44.3681	1674179	44.355
SRR11412227.fasta	Discarded	2097170	55.5615	2097170	55.5615
SRR11412227.fasta	rc_discarded	569	0.0150748	265	0.0070208
SRR11412228.fasta	SARS-CoV-2	1739	0.0467657	1739	0.0467657
SRR11412228.fasta	Coronaviridae	52	0.0013984	26	0.000699199
SRR11412228.fasta	Influenza	0	0	0	0
SRR11412228.fasta	Metapneumovirus	0	0	0	0
SRR11412228.fasta	Rhinovirus	68	0.00182867	44	0.00118326
SRR11412228.fasta	Human	1650056	44.3738	1649625	44.3622
SRR11412228.fasta	Discarded	2066136	55.5631	2066136	55.5631
SRR11412228.fasta	rc_discarded	489	0.0131503	208	0.00559359
SRR11412229.fasta	SARS-CoV-2	1805	0.0474603	1805	0.0474603
SRR11412229.fasta	Coronaviridae	42	0.00110434	13	0.00034182
SRR11412229.fasta	Influenza	0	0	0	0
SRR11412229.fasta	Metapneumovirus	0	0	0	0
SRR11412229.fasta	Rhinovirus	230	0.00604758	44	0.00115693
SRR11412229.fasta	Human	1675996	44.0683	1675533	44.0562
SRR11412229.fasta	Discarded	2124540	55.8623	2124540	55.8623
SRR11412229.fasta	rc_discarded	562	0.0147771	278	0.00730968
SRR11412230.fasta	SARS-CoV-2	1751	0.0468698	1747	0.0467627
SRR11412230.fasta	Coronaviridae	57	0.00152574	29	0.000776256
SRR11412230.fasta	Influenza	1	2.67674e-05	1	2.67674e-05
SRR11412230.fasta	Metapneumovirus	0	0	0	0
SRR11412230.fasta	Rhinovirus	86	0.002302	51	0.00136514
SRR11412230.fasta	Human	1639093	43.8743	1638661	43.8628
SRR11412230.fasta	Discarded	2094390	56.0615	2094390	56.0615
SRR11412230.fasta	rc_discarded	504	0.0134908	226	0.00604944
SRR10971381.fasta.gz	SARS-CoV-2	7336	0.189867	7298	0.188884
SRR10971381.fasta.gz	Coronaviridae	201	0.00520219	166	0.00429634
SRR10971381.fasta.gz	Influenza	13	0.00033646	6	0.000155289
SRR10971381.fasta.gz	Metapneumovirus	0	0	0	0
SRR10971381.fasta.gz	Rhinovirus	351	0.00908443	242	0.00626334
SRR10971381.fasta.gz	Human	1629797	42.1817	1628405	42.1457
SRR10971381.fasta.gz	Discarded	2224027	57.5613	2224027	57.5613
SRR10971381.fasta.gz	rc_discarded	2029	0.0525137	1297	0.0335684
SRR4427249.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427249.fasta.gz	Coronaviridae	7	0.00123514	6	0.00105869
SRR4427249.fasta.gz	Influenza	0	0	0	0
SRR4427249.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427249.fasta.gz	Rhinovirus	4	0.000705794	3	0.000529345
SRR4427249.fasta.gz	Human	272145	48.0195	272074	48.007
SRR4427249.fasta.gz	Discarded	294521	51.9678	294521	51.9678
SRR4427249.fasta.gz	rc_discarded	61	0.0107634	34	0.00599924
SRR4427250.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427250.fasta.gz	Coronaviridae	2	0.000445179	2	0.000445179
SRR4427250.fasta.gz	Influenza	0	0	0	0
SRR4427250.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427250.fasta.gz	Rhinovirus	4	0.000890359	2	0.000445179
SRR4427250.fasta.gz	Human	228457	50.8522	228415	50.8428
SRR4427250.fasta.gz	Discarded	220747	49.136	220747	49.136
SRR4427250.fasta.gz	rc_discarded	47	0.0104617	25	0.00556474
SRR4427251.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427251.fasta.gz	Coronaviridae	2	0.000479316	2	0.000479316
SRR4427251.fasta.gz	Influenza	0	0	0	0
SRR4427251.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427251.fasta.gz	Rhinovirus	3	0.000718974	1	0.000239658
SRR4427251.fasta.gz	Human	222730	53.3791	222675	53.3659
SRR4427251.fasta.gz	Discarded	194473	46.607	194473	46.607
SRR4427251.fasta.gz	rc_discarded	53	0.0127019	24	0.0057518
SRR4427252.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427252.fasta.gz	Coronaviridae	3	0.000561769	2	0.000374513
SRR4427252.fasta.gz	Influenza	0	0	0	0
SRR4427252.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427252.fasta.gz	Rhinovirus	2032	0.380505	2013	0.376947
SRR4427252.fasta.gz	Human	220453	41.2812	220395	41.2704
SRR4427252.fasta.gz	Discarded	311455	58.322	311455	58.322
SRR4427252.fasta.gz	rc_discarded	84	0.0157295	58	0.0108609
SRR4427253.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427253.fasta.gz	Coronaviridae	2	0.000538915	2	0.000538915
SRR4427253.fasta.gz	Influenza	0	0	0	0
SRR4427253.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427253.fasta.gz	Rhinovirus	4	0.00107783	2	0.000538915
SRR4427253.fasta.gz	Human	198885	53.5911	198852	53.5822
SRR4427253.fasta.gz	Discarded	172171	46.3928	172171	46.3928
SRR4427253.fasta.gz	rc_discarded	54	0.0145507	28	0.00754481
SRR4427254.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427254.fasta.gz	Coronaviridae	4	0.000573272	1	0.000143318
SRR4427254.fasta.gz	Influenza	0	0	0	0
SRR4427254.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427254.fasta.gz	Rhinovirus	7	0.00100323	2	0.000286636
SRR4427254.fasta.gz	Human	413610	59.2778	413503	59.2624
SRR4427254.fasta.gz	Discarded	284033	40.707	284033	40.707
SRR4427254.fasta.gz	rc_discarded	95	0.0136152	50	0.0071659
SRR4427255.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427255.fasta.gz	Coronaviridae	2	0.000260453	2	0.000260453
SRR4427255.fasta.gz	Influenza	0	0	0	0
SRR4427255.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427255.fasta.gz	Rhinovirus	7	0.000911585	4	0.000520906
SRR4427255.fasta.gz	Human	449478	58.5339	449358	58.5183
SRR4427255.fasta.gz	Discarded	318301	41.4512	318301	41.4512
SRR4427255.fasta.gz	rc_discarded	105	0.0136738	57	0.00742291
SRR4427256.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427256.fasta.gz	Coronaviridae	8	0.000831245	6	0.000623434
SRR4427256.fasta.gz	Influenza	0	0	0	0
SRR4427256.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427256.fasta.gz	Rhinovirus	11	0.00114296	4	0.000415622
SRR4427256.fasta.gz	Human	637023	66.1903	636836	66.1708
SRR4427256.fasta.gz	Discarded	325193	33.7894	325193	33.7894
SRR4427256.fasta.gz	rc_discarded	177	0.0183913	84	0.00872807
SRR4427257.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427257.fasta.gz	Coronaviridae	10	0.000884896	6	0.000530938
SRR4427257.fasta.gz	Influenza	0	0	0	0
SRR4427257.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427257.fasta.gz	Rhinovirus	9	0.000796407	8	0.000707917
SRR4427257.fasta.gz	Human	798832	70.6883	798603	70.6681
SRR4427257.fasta.gz	Discarded	330998	29.2899	330998	29.2899
SRR4427257.fasta.gz	rc_discarded	227	0.0200871	112	0.00991084
SRR4427258.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427258.fasta.gz	Coronaviridae	9	0.00113788	5	0.000632156
SRR4427258.fasta.gz	Influenza	0	0	0	0
SRR4427258.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427258.fasta.gz	Rhinovirus	14	0.00177004	8	0.00101145
SRR4427258.fasta.gz	Human	525757	66.4721	525611	66.4536
SRR4427258.fasta.gz	Discarded	265004	33.5048	265004	33.5048
SRR4427258.fasta.gz	rc_discarded	160	0.020229	92	0.0116317
SRR4427259.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427259.fasta.gz	Coronaviridae	9	0.00104813	5	0.000582296
SRR4427259.fasta.gz	Influenza	0	0	0	0
SRR4427259.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427259.fasta.gz	Rhinovirus	12	0.00139751	8	0.000931673
SRR4427259.fasta.gz	Human	619329	72.1265	619177	72.1088
SRR4427259.fasta.gz	Discarded	239145	27.8506	239145	27.8506
SRR4427259.fasta.gz	rc_discarded	175	0.0203804	78	0.00908382
SRR4427260.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427260.fasta.gz	Coronaviridae	9	0.00112653	5	0.000625847
SRR4427260.fasta.gz	Influenza	0	0	0	0
SRR4427260.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427260.fasta.gz	Rhinovirus	16	0.00200271	9	0.00112653
SRR4427260.fasta.gz	Human	559152	69.9887	558995	69.9691
SRR4427260.fasta.gz	Discarded	239608	29.9916	239608	29.9916
SRR4427260.fasta.gz	rc_discarded	132	0.0165224	67	0.00838635
SRR4427261.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427261.fasta.gz	Coronaviridae	3	0.000474234	3	0.000474234
SRR4427261.fasta.gz	Influenza	0	0	0	0
SRR4427261.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427261.fasta.gz	Rhinovirus	99	0.0156497	87	0.0137528
SRR4427261.fasta.gz	Human	363964	57.5347	363884	57.5221
SRR4427261.fasta.gz	Discarded	268463	42.4381	268463	42.4381
SRR4427261.fasta.gz	rc_discarded	70	0.0110655	33	0.00521657
SRR4427262.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427262.fasta.gz	Coronaviridae	1	0.000153783	1	0.000153783
SRR4427262.fasta.gz	Influenza	0	0	0	0
SRR4427262.fasta.gz	Metapneumovirus	33	0.00507482	32	0.00492104
SRR4427262.fasta.gz	Rhinovirus	5	0.000768913	2	0.000307565
SRR4427262.fasta.gz	Human	367670	56.5412	367576	56.5268
SRR4427262.fasta.gz	Discarded	282470	43.4389	282470	43.4389
SRR4427262.fasta.gz	rc_discarded	90	0.0138404	50	0.00768913
SRR4427263.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427263.fasta.gz	Coronaviridae	7	0.000925959	3	0.00039684
SRR4427263.fasta.gz	Influenza	0	0	0	0
SRR4427263.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427263.fasta.gz	Rhinovirus	9	0.00119052	5	0.000661399
SRR4427263.fasta.gz	Human	477298	63.1369	477161	63.1188
SRR4427263.fasta.gz	Discarded	278517	36.8422	278517	36.8422
SRR4427263.fasta.gz	rc_discarded	142	0.0187837	75	0.00992099
SRR4427264.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427264.fasta.gz	Coronaviridae	7	0.000872389	4	0.000498508
SRR4427264.fasta.gz	Influenza	0	0	0	0
SRR4427264.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427264.fasta.gz	Rhinovirus	10	0.00124627	4	0.000498508
SRR4427264.fasta.gz	Human	474591	59.1469	474466	59.1313
SRR4427264.fasta.gz	Discarded	327695	40.8397	327695	40.8397
SRR4427264.fasta.gz	rc_discarded	91	0.0113411	46	0.00573284
SRR4427265.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427265.fasta.gz	Coronaviridae	6	0.000659136	5	0.00054928
SRR4427265.fasta.gz	Influenza	0	0	0	0
SRR4427265.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427265.fasta.gz	Rhinovirus	9	0.000988705	2	0.000219712
SRR4427265.fasta.gz	Human	675659	74.2252	675456	74.2029
SRR4427265.fasta.gz	Discarded	234414	25.7518	234414	25.7518
SRR4427265.fasta.gz	rc_discarded	194	0.0213121	101	0.0110955
SRR4427266.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427266.fasta.gz	Coronaviridae	12	0.00146898	10	0.00122415
SRR4427266.fasta.gz	Influenza	0	0	0	0
SRR4427266.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427266.fasta.gz	Rhinovirus	9	0.00110174	6	0.000734492
SRR4427266.fasta.gz	Human	538116	65.8737	537964	65.8551
SRR4427266.fasta.gz	Discarded	278618	34.1071	278618	34.1071
SRR4427266.fasta.gz	rc_discarded	136	0.0166485	72	0.00881391
SRR4427267.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427267.fasta.gz	Coronaviridae	8	0.000792104	5	0.000495065
SRR4427267.fasta.gz	Influenza	124	0.0122776	105	0.0103964
SRR4427267.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427267.fasta.gz	Rhinovirus	14	0.00138618	6	0.000594078
SRR4427267.fasta.gz	Human	749274	74.1878	749026	74.1633
SRR4427267.fasta.gz	Discarded	260281	25.7712	260281	25.7712
SRR4427267.fasta.gz	rc_discarded	268	0.0265355	153	0.015149
SRR4427268.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427268.fasta.gz	Coronaviridae	8	0.000708058	4	0.000354029
SRR4427268.fasta.gz	Influenza	0	0	0	0
SRR4427268.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427268.fasta.gz	Rhinovirus	16	0.00141612	11	0.00097358
SRR4427268.fasta.gz	Human	800671	70.8652	800440	70.8447
SRR4427268.fasta.gz	Discarded	328945	29.114	328945	29.114
SRR4427268.fasta.gz	rc_discarded	211	0.018675	109	0.00964729
SRR4427269.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427269.fasta.gz	Coronaviridae	5	0.00060862	2	0.000243448
SRR4427269.fasta.gz	Influenza	0	0	0	0
SRR4427269.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427269.fasta.gz	Rhinovirus	11	0.00133896	8	0.000973792
SRR4427269.fasta.gz	Human	375005	45.6471	374883	45.6322
SRR4427269.fasta.gz	Discarded	446363	54.3331	446363	54.3331
SRR4427269.fasta.gz	rc_discarded	147	0.0178934	72	0.00876412
SRR4427270.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427270.fasta.gz	Coronaviridae	6	0.000936474	4	0.000624316
SRR4427270.fasta.gz	Influenza	0	0	0	0
SRR4427270.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427270.fasta.gz	Rhinovirus	1282	0.200093	1065	0.166224
SRR4427270.fasta.gz	Human	281642	43.9584	281037	43.864
SRR4427270.fasta.gz	Discarded	356999	55.7201	356999	55.7201
SRR4427270.fasta.gz	rc_discarded	772	0.120493	493	0.076947
SRR4427271.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427271.fasta.gz	Coronaviridae	3	0.000801344	2	0.000534229
SRR4427271.fasta.gz	Influenza	0	0	0	0
SRR4427271.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427271.fasta.gz	Rhinovirus	12	0.00320538	11	0.00293826
SRR4427271.fasta.gz	Human	198253	52.9563	198192	52.94
SRR4427271.fasta.gz	Discarded	176046	47.0245	176046	47.0245
SRR4427271.fasta.gz	rc_discarded	57	0.0152255	30	0.00801344
SRR4427272.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427272.fasta.gz	Coronaviridae	265	0.0509731	257	0.0494343
SRR4427272.fasta.gz	Influenza	0	0	0	0
SRR4427272.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427272.fasta.gz	Rhinovirus	2	0.000384703	2	0.000384703
SRR4427272.fasta.gz	Human	211744	40.7292	211701	40.721
SRR4427272.fasta.gz	Discarded	307827	59.2109	307827	59.2109
SRR4427272.fasta.gz	rc_discarded	44	0.00846346	25	0.00480878
SRR4427273.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427273.fasta.gz	Coronaviridae	6	0.000750431	3	0.000375215
SRR4427273.fasta.gz	Influenza	0	0	0	0
SRR4427273.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427273.fasta.gz	Rhinovirus	1356	0.169597	1318	0.164845
SRR4427273.fasta.gz	Human	515171	64.4333	515003	64.4123
SRR4427273.fasta.gz	Discarded	282842	35.3755	282842	35.3755
SRR4427273.fasta.gz	rc_discarded	166	0.0207619	92	0.0115066
SRR4427274.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427274.fasta.gz	Coronaviridae	5	0.000754495	1	0.000150899
SRR4427274.fasta.gz	Influenza	0	0	0	0
SRR4427274.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427274.fasta.gz	Rhinovirus	34	0.00513057	32	0.00482877
SRR4427274.fasta.gz	Human	405304	61.16	405194	61.1434
SRR4427274.fasta.gz	Discarded	257258	38.82	257258	38.82
SRR4427274.fasta.gz	rc_discarded	94	0.0141845	51	0.00769585
SRR4427275.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427275.fasta.gz	Coronaviridae	10	0.00139689	6	0.000838136
SRR4427275.fasta.gz	Influenza	0	0	0	0
SRR4427275.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427275.fasta.gz	Rhinovirus	26	0.00363192	18	0.00251441
SRR4427275.fasta.gz	Human	463198	64.7038	463104	64.6907
SRR4427275.fasta.gz	Discarded	252539	35.277	252539	35.277
SRR4427275.fasta.gz	rc_discarded	101	0.0141086	52	0.00726385
SRR4427276.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427276.fasta.gz	Coronaviridae	5	0.000586708	4	0.000469367
SRR4427276.fasta.gz	Influenza	0	0	0	0
SRR4427276.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427276.fasta.gz	Rhinovirus	17	0.00199481	9	0.00105608
SRR4427276.fasta.gz	Human	611974	71.8101	611808	71.7906
SRR4427276.fasta.gz	Discarded	240061	28.1692	240061	28.1692
SRR4427276.fasta.gz	rc_discarded	155	0.018188	83	0.00973936
SRR4427277.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427277.fasta.gz	Coronaviridae	8	0.000956659	6	0.000717494
SRR4427277.fasta.gz	Influenza	0	0	0	0
SRR4427277.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427277.fasta.gz	Rhinovirus	22	0.00263081	15	0.00179373
SRR4427277.fasta.gz	Human	594861	71.1349	594693	71.1148
SRR4427277.fasta.gz	Discarded	241208	28.8442	241208	28.8442
SRR4427277.fasta.gz	rc_discarded	145	0.0173394	65	0.00777285
SRR4427278.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427278.fasta.gz	Coronaviridae	9	0.000903099	5	0.000501721
SRR4427278.fasta.gz	Influenza	0	0	0	0
SRR4427278.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427278.fasta.gz	Rhinovirus	20	0.00200689	11	0.00110379
SRR4427278.fasta.gz	Human	719957	72.2436	719762	72.224
SRR4427278.fasta.gz	Discarded	276384	27.7336	276384	27.7336
SRR4427278.fasta.gz	rc_discarded	199	0.0199685	123	0.0123423
SRR4427279.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427279.fasta.gz	Coronaviridae	1	0.00019299	1	0.00019299
SRR4427279.fasta.gz	Influenza	0	0	0	0
SRR4427279.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427279.fasta.gz	Rhinovirus	10	0.0019299	7	0.00135093
SRR4427279.fasta.gz	Human	272299	52.5509	271898	52.4736
SRR4427279.fasta.gz	Discarded	245478	47.3748	245478	47.3748
SRR4427279.fasta.gz	rc_discarded	374	0.0721782	175	0.0337732
SRR4427280.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427280.fasta.gz	Coronaviridae	5	0.000731037	2	0.000292415
SRR4427280.fasta.gz	Influenza	0	0	0	0
SRR4427280.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427280.fasta.gz	Rhinovirus	363	0.0530733	355	0.0519036
SRR4427280.fasta.gz	Human	428531	62.6544	428422	62.6385
SRR4427280.fasta.gz	Discarded	254955	37.2763	254955	37.2763
SRR4427280.fasta.gz	rc_discarded	106	0.015498	67	0.00979589
SRR4427281.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427281.fasta.gz	Coronaviridae	9	0.000844124	6	0.000562749
SRR4427281.fasta.gz	Influenza	0	0	0	0
SRR4427281.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427281.fasta.gz	Rhinovirus	12	0.0011255	8	0.000750332
SRR4427281.fasta.gz	Human	752847	70.6107	752634	70.5907
SRR4427281.fasta.gz	Discarded	313126	29.3686	313126	29.3686
SRR4427281.fasta.gz	rc_discarded	200	0.0187583	101	0.00947295
SRR4427282.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427282.fasta.gz	Coronaviridae	5	0.000597382	4	0.000477906
SRR4427282.fasta.gz	Influenza	0	0	0	0
SRR4427282.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427282.fasta.gz	Rhinovirus	12	0.00143372	12	0.00143372
SRR4427282.fasta.gz	Human	583787	69.7488	583665	69.7342
SRR4427282.fasta.gz	Discarded	253048	30.2333	253048	30.2333
SRR4427282.fasta.gz	rc_discarded	133	0.0158904	71	0.00848283
SRR4427283.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427283.fasta.gz	Coronaviridae	14	0.00174436	12	0.00149517
SRR4427283.fasta.gz	Influenza	0	0	0	0
SRR4427283.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427283.fasta.gz	Rhinovirus	16	0.00199356	14	0.00174436
SRR4427283.fasta.gz	Human	477130	59.4491	477019	59.4353
SRR4427283.fasta.gz	Discarded	325301	40.5316	325301	40.5316
SRR4427283.fasta.gz	rc_discarded	125	0.0155747	67	0.00834802
SRR4427284.fasta.gz	SARS-CoV-2	0	0	0	0
SRR4427284.fasta.gz	Coronaviridae	6	0.000891467	5	0.000742889
SRR4427284.fasta.gz	Influenza	0	0	0	0
SRR4427284.fasta.gz	Metapneumovirus	0	0	0	0
SRR4427284.fasta.gz	Rhinovirus	6	0.000891467	3	0.000445733
SRR4427284.fasta.gz	Human	412228	61.2479	412125	61.2326
SRR4427284.fasta.gz	Discarded	260728	38.7384	260728	38.7384
